experiment,variant,metric,n_seeds,mean,std,ci95
ablation,S16_eta0.05_hard_top1_additive,recall_mse,5,0.31350224,0.014099749361978034,0.012358975231324131
ablation,S16_eta0.05_hard_top1_gated,recall_mse,5,0.33737768199999996,0.03643294052071655,0.03193488039681528
ablation,S16_eta0.05_softmax_additive,recall_mse,5,0.325272984,0.03740944199645564,0.03279082167932882
ablation,S16_eta0.05_softmax_gated,recall_mse,5,0.32411406,0.03743012663958204,0.032808952568432234
ablation,S16_eta0.05_topk_softmax_additive,recall_mse,5,0.334706618,0.020798344954514297,0.018230553150011226
ablation,S16_eta0.05_topk_softmax_gated,recall_mse,5,0.328955346,0.02271103523383028,0.019907100099917033
ablation,S16_eta0.20_hard_top1_additive,recall_mse,5,0.257578234,0.0080368201736433,0.007044583482633568
ablation,S16_eta0.20_hard_top1_gated,recall_mse,5,0.314229946,0.027577140648802408,0.024172429557391573
ablation,S16_eta0.20_softmax_additive,recall_mse,5,0.316776562,0.0222999271551965,0.019546747980826645
ablation,S16_eta0.20_softmax_gated,recall_mse,5,0.33209521200000003,0.0418363177321866,0.036671149347960036
ablation,S16_eta0.20_topk_softmax_additive,recall_mse,5,0.270918048,0.013363378768577577,0.01171351794756182
ablation,S16_eta0.20_topk_softmax_gated,recall_mse,5,0.325206518,0.017760997386335603,0.01556820062158466
ablation,S16_eta0.50_hard_top1_additive,recall_mse,5,0.366717224,0.07964147443392594,0.06980883025972744
ablation,S16_eta0.50_hard_top1_gated,recall_mse,5,0.259653658,0.0228851589173108,0.020059726237877034
ablation,S16_eta0.50_softmax_additive,recall_mse,5,0.29831386800000004,0.03026769288712091,0.026530802576534174
ablation,S16_eta0.50_softmax_gated,recall_mse,5,0.326525254,0.020566942094635266,0.018027719600259295
ablation,S16_eta0.50_topk_softmax_additive,recall_mse,5,0.26323241799999997,0.03175817117762403,0.02783726440094281
ablation,S16_eta0.50_topk_softmax_gated,recall_mse,5,0.304773634,0.014793391524681888,0.01296697939424752
ablation,S4_eta0.05_hard_top1_additive,recall_mse,5,0.311611468,0.017827973553424973,0.015626907820478472
ablation,S4_eta0.05_hard_top1_gated,recall_mse,5,0.311182016,0.010527409140692216,0.009227680966491852
ablation,S4_eta0.05_softmax_additive,recall_mse,5,0.339925168,0.016128922884412325,0.014137624245571993
ablation,S4_eta0.05_softmax_gated,recall_mse,5,0.30823219,0.017547179190609236,0.01538078070956022
ablation,S4_eta0.05_topk_softmax_additive,recall_mse,5,0.317498742,0.027626713390797482,0.024215881981596937
ablation,S4_eta0.05_topk_softmax_gated,recall_mse,5,0.325591832,0.017658370346770962,0.015478244055160588
ablation,S4_eta0.20_hard_top1_additive,recall_mse,5,0.262886058,0.022924399896821074,0.020094122472970984
ablation,S4_eta0.20_hard_top1_gated,recall_mse,5,0.302220138,0.01962289141045912,0.01720022269068226
ablation,S4_eta0.20_softmax_additive,recall_mse,5,0.315121312,0.02517642011926179,0.022068105232170985
ablation,S4_eta0.20_softmax_gated,recall_mse,5,0.316492044,0.01594118255892987,0.013973062594652483
ablation,S4_eta0.20_topk_softmax_additive,recall_mse,5,0.299776484,0.012685512626158626,0.011119342076116845
ablation,S4_eta0.20_topk_softmax_gated,recall_mse,5,0.309683428,0.01698717645821902,0.014889916672093842
ablation,S4_eta0.50_hard_top1_additive,recall_mse,5,0.364781756,0.04935641615309888,0.04326280624448632
ablation,S4_eta0.50_hard_top1_gated,recall_mse,5,0.276906716,0.014773844410167245,0.012949845592934583
ablation,S4_eta0.50_softmax_additive,recall_mse,5,0.29898463,0.017263661254843944,0.015132266281693268
ablation,S4_eta0.50_softmax_gated,recall_mse,5,0.320382862,0.018444208113336552,0.01616706122796888
ablation,S4_eta0.50_topk_softmax_additive,recall_mse,5,0.3130175,0.04574839059518213,0.04010023240295941
ablation,S4_eta0.50_topk_softmax_gated,recall_mse,5,0.27017071600000003,0.03152133813234663,0.027629671083827863
ablation,S8_eta0.05_hard_top1_additive,recall_mse,5,0.32414377400000005,0.04313994972667596,0.03781383317283019
ablation,S8_eta0.05_hard_top1_gated,recall_mse,5,0.336837996,0.017825862181023115,0.015625057120969656
ablation,S8_eta0.05_softmax_additive,recall_mse,5,0.317018588,0.030617967378008946,0.02683783170491881
ablation,S8_eta0.05_softmax_gated,recall_mse,5,0.33364815600000003,0.03318072067897832,0.029084184016406372
ablation,S8_eta0.05_topk_softmax_additive,recall_mse,5,0.320753438,0.03768334541419288,0.033030908610570175
ablation,S8_eta0.05_topk_softmax_gated,recall_mse,5,0.321172886,0.0356324891888762,0.03123325386927058
ablation,S8_eta0.20_hard_top1_additive,recall_mse,5,0.23086975399999998,0.0276411629193795,0.024228547551832607
ablation,S8_eta0.20_hard_top1_gated,recall_mse,5,0.290381468,0.02452062814073021,0.021493278218477477
ablation,S8_eta0.20_softmax_additive,recall_mse,5,0.305363882,0.01120605653856967,0.009822541638539527
ablation,S8_eta0.20_softmax_gated,recall_mse,5,0.323397822,0.016536918748573454,0.014495248388398788
ablation,S8_eta0.20_topk_softmax_additive,recall_mse,5,0.289531648,0.027108086462457454,0.023761285435438692
ablation,S8_eta0.20_topk_softmax_gated,recall_mse,5,0.309480726,0.02185625439221872,0.01915785165737553
ablation,S8_eta0.50_hard_top1_additive,recall_mse,5,0.377821196,0.03064357678209545,0.026860279337331875
ablation,S8_eta0.50_hard_top1_gated,recall_mse,5,0.258845596,0.008447178184277268,0.007404278138134109
ablation,S8_eta0.50_softmax_additive,recall_mse,5,0.327202838,0.023508065312576647,0.020605727766903077
ablation,S8_eta0.50_softmax_gated,recall_mse,5,0.325512232,0.02364147936854988,0.020722670343040643
ablation,S8_eta0.50_topk_softmax_additive,recall_mse,5,0.255867546,0.01695784106901819,0.01486420306972925
ablation,S8_eta0.50_topk_softmax_gated,recall_mse,5,0.29686585,0.01904706887218345,0.0166954919819664
core_adaptation,alc,recall_acc,5,0.1125,0.03890593624371479,0.03410255672233388
core_adaptation,alc,recall_mse,5,0.631524646,0.13990926692191238,0.12263587955566706
core_adaptation,alc_no_write,recall_acc,5,0.053125,0.03240068961457456,0.02840045664245559
core_adaptation,alc_no_write,recall_mse,5,0.33382606800000003,0.00832534921281805,0.007297490336303926
core_adaptation,baseline,recall_acc,5,0.03125,0.011048543456039806,0.009684475334265662
core_adaptation,baseline,recall_mse,5,0.885256852,0.10836506826914619,0.0949861703421968
efficiency,alc,extra_params,5,992.0,0.0,0.0
efficiency,alc,forward_ms,5,0.6992564760000001,0.11020263244229277,0.09659686635663299
efficiency,alc,slowdown_ratio,5,1.156940444,0.28530776517022677,0.25008328251223616
efficiency,baseline,forward_ms,5,0.618740016,0.09915936982943913,0.08691701988550969
language_benchmark,alc,recall_acc,5,0.012500002,0.004658471971700592,0.00408333072
language_benchmark,alc,recall_mse,5,0.9514068019999999,0.14207203463277132,0.12453162903910776
language_benchmark,alc_no_write,recall_acc,5,0.014583332,0.013975424114017794,0.012249999346666754
language_benchmark,alc_no_write,recall_mse,5,0.335782064,0.013233433145137738,0.011599615586584915
language_benchmark,baseline,recall_acc,5,0.004166668,0.005705445133087338,0.00500104315851562
language_benchmark,baseline,recall_mse,5,1.057354462,0.13350425887626177,0.117021642468156
persistence,alc,behavior_max_abs_diff,5,0.0,0.0,0.0
persistence,alc,load_ok,5,1.0,0.0,0.0
persistence,alc,save_ok,5,1.0,0.0,0.0
persistence,alc,slot_max_abs_diff,5,0.0,0.0,0.0
stability,alc,nan_rate,5,0.0,0.0,0.0
stability,alc,slot_norm_final,5,0.543041216,0.07168141502791384,0.06283153055650981
stability,alc,slot_norm_init,5,0.0,0.0,0.0
stability,alc,slot_norm_max,5,0.745674692,0.026044123267791538,0.022828680576137007
tinyqa,alc,delayed_qa_acc,10,0.058333335,0.008784106368399752,0.0054444455333333315
tinyqa,alc,qa_acc_delay_0,5,0.03333334,0.0,0.0
tinyqa,alc,qa_acc_delay_4,5,0.06666667,0.0,0.0
tinyqa,alc,qa_acc_delay_8,5,0.05,0.0,0.0
tinyqa,alc,qa_acc_mean,5,0.05,0.0,0.0
tinyqa,alc_no_write,delayed_qa_acc,10,0.03333334,0.0,0.0
tinyqa,alc_no_write,qa_acc_delay_0,5,0.03333334,0.0,0.0
tinyqa,alc_no_write,qa_acc_delay_4,5,0.03333334,0.0,0.0
tinyqa,alc_no_write,qa_acc_delay_8,5,0.03333334,0.0,0.0
tinyqa,alc_no_write,qa_acc_mean,5,0.03333334,0.0,0.0
tinyqa,baseline,delayed_qa_acc,10,0.03333334,0.0,0.0
tinyqa,baseline,qa_acc_delay_0,5,0.03333334,0.0,0.0
tinyqa,baseline,qa_acc_delay_4,5,0.03333334,0.0,0.0
tinyqa,baseline,qa_acc_delay_8,5,0.03333334,0.0,0.0
tinyqa,baseline,qa_acc_mean,5,0.03333334,0.0,0.0
tinyqa,dataset,num_samples,5,60.0,0.0,0.0
trainability,interface_frozen,loss_eval,5,0.092426584,0.0014870340031855381,0.0013034427734627888
trainability,interface_trainable,loss_after,5,0.075476688,6.336898507944982e-05,5.554536445470533e-05
trainability,interface_trainable,loss_before,5,0.092426584,0.0014870340031855381,0.0013034427734627888
