variant,recall_mse
S16_eta0.20_hard_top1_additive,0.222174
S8_eta0.50_hard_top1_gated,0.234121
S4_eta0.50_hard_top1_gated,0.245772
S4_eta0.20_hard_top1_additive,0.248239
S8_eta0.50_topk_softmax_additive,0.248427
S16_eta0.50_hard_top1_gated,0.262857
S8_eta0.20_hard_top1_gated,0.263616
S16_eta0.50_topk_softmax_additive,0.272201
S16_eta0.20_topk_softmax_additive,0.281063
S8_eta0.50_topk_softmax_gated,0.283124
S16_eta0.05_hard_top1_gated,0.283547
S4_eta0.05_topk_softmax_additive,0.283811
S4_eta0.20_softmax_gated,0.287434
S8_eta0.05_hard_top1_additive,0.288819
S8_eta0.20_topk_softmax_additive,0.291686
S8_eta0.20_hard_top1_additive,0.291978
S4_eta0.05_hard_top1_additive,0.293367
S4_eta0.20_topk_softmax_additive,0.295379
S8_eta0.50_softmax_gated,0.295957
S8_eta0.05_topk_softmax_gated,0.296754
S16_eta0.05_topk_softmax_additive,0.296884
S16_eta0.20_hard_top1_gated,0.297353
S8_eta0.50_hard_top1_additive,0.297432
S4_eta0.20_topk_softmax_gated,0.297591
S8_eta0.05_topk_softmax_additive,0.298816
S8_eta0.20_topk_softmax_gated,0.299096
S8_eta0.05_softmax_gated,0.299420
S4_eta0.50_topk_softmax_gated,0.299986
S4_eta0.50_softmax_gated,0.308353
S4_eta0.05_topk_softmax_gated,0.317455
S16_eta0.20_topk_softmax_gated,0.318832
S16_eta0.05_hard_top1_additive,0.320669
S16_eta0.50_softmax_additive,0.322240
S4_eta0.05_softmax_gated,0.322378
S16_eta0.20_softmax_gated,0.324503
S4_eta0.05_softmax_additive,0.327616
S4_eta0.05_hard_top1_gated,0.328641
S8_eta0.05_softmax_additive,0.328844
S16_eta0.05_topk_softmax_gated,0.330561
S16_eta0.20_softmax_additive,0.334847
S16_eta0.50_topk_softmax_gated,0.335610
S4_eta0.50_softmax_additive,0.336742
S4_eta0.50_topk_softmax_additive,0.338774
S8_eta0.05_hard_top1_gated,0.341246
S4_eta0.20_hard_top1_gated,0.348651
S8_eta0.20_softmax_gated,0.348658
S8_eta0.50_softmax_additive,0.351555
S16_eta0.05_softmax_additive,0.352909
S16_eta0.05_softmax_gated,0.362720
S4_eta0.20_softmax_additive,0.365690
S8_eta0.20_softmax_additive,0.377764
S16_eta0.50_softmax_gated,0.380318
S16_eta0.50_hard_top1_additive,0.405445
S4_eta0.50_hard_top1_additive,0.579740
